222.133.52.20 - - [06/Aug/2019:12:12:19 +0800] "GET /nginx-logo.png HTTP/1.1" 200 368 "http://119.122.1.4/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36" "-"
180.57.30.148 - - [21/Jan/2025:01:40:02 +0800] "POST /api/v1/orders HTTP/1.1" 500 913 "https://demo.example.com/app" "curl/8.4.0" "10.0.0.8"
10.1.20.5 - - [25/Apr/2026:09:00:01 +0800] "GET /health HTTP/1.1" 200 42 "-" "kube-probe/1.28" "-"
10.1.20.6 - - [25/Apr/2026:09:00:04 +0800] "GET /api/v1/products?page=1 HTTP/1.1" 200 8124 "https://shop.example.com/" "Mozilla/5.0 DemoBrowser/2.0" "203.0.113.6"
10.1.20.7 - - [25/Apr/2026:09:00:10 +0800] "POST /api/v1/payments HTTP/1.1" 201 1280 "https://shop.example.com/cart" "Mozilla/5.0 Mobile/15.0" "198.51.100.7"
10.1.20.8 - - [25/Apr/2026:09:00:18 +0800] "GET /static/app.js HTTP/1.1" 304 0 "https://shop.example.com/" "Mozilla/5.0 DemoBrowser/2.0" "-"
203.0.113.90 - - [25/Apr/2026:09:00:25 +0800] "GET /admin HTTP/1.1" 403 256 "-" "sqlmap/1.7" "-"
203.0.113.91 - - [25/Apr/2026:09:00:31 +0800] "POST /login HTTP/1.1" 401 512 "https://shop.example.com/login" "python-requests/2.31" "-"
10.1.21.11 - - [25/Apr/2026:09:00:36 +0800] "GET /api/v1/orders/10086 HTTP/1.1" 404 145 "https://shop.example.com/orders" "Mozilla/5.0 DemoBrowser/2.0" "198.51.100.11"
10.1.21.12 - - [25/Apr/2026:09:00:42 +0800] "PUT /api/v1/profile HTTP/1.1" 204 0 "https://shop.example.com/me" "Mozilla/5.0 DemoBrowser/2.0" "198.51.100.12"
198.51.100.77 - - [25/Apr/2026:09:01:03 +0800] "GET /download/report.csv HTTP/1.1" 206 1048576 "https://console.example.com/reports" "Mozilla/5.0 Enterprise/8.0" "10.0.0.77"
198.51.100.78 - - [25/Apr/2026:09:01:22 +0800] "DELETE /api/v1/orders/42 HTTP/1.1" 409 768 "https://console.example.com/orders" "Mozilla/5.0 Enterprise/8.0" "10.0.0.78"
